phone_number,imei,imsi,timestamp,tower_id
9048233130,IMEI-7341196897,IMSI-1521336548,2026-07-21T00:15:00,TWR-196
9013502707,IMEI-7216113408,IMSI-9257382205,2026-08-02T07:18:00,TWR-127
9780874168,IMEI-1814714635,IMSI-9283753410,2026-07-02T06:02:00,TWR-142
9292869007,IMEI-0943331952,IMSI-4641712705,2026-07-08T07:22:00,TWR-126
9905828031,IMEI-0781238549,IMSI-4012237783,2026-07-04T04:20:00,TWR-161
9347052967,IMEI-5448119712,IMSI-9901365634,2026-07-29T23:34:00,TWR-100
9943604188,IMEI-6668635297,IMSI-7520017429,2026-08-16T12:43:00,TWR-186
9886247321,IMEI-3732677445,IMSI-6782052055,2026-08-24T17:17:00,TWR-163
9183540946,IMEI-1864747755,IMSI-3269121712,2026-07-24T05:37:00,TWR-164
9636952352,IMEI-6383558287,IMSI-0249322336,2026-07-23T00:48:00,TWR-178
9200139158,IMEI-0054870777,IMSI-4754723180,2026-08-19T14:54:00,TWR-156
9651699247,IMEI-7391912109,IMSI-5628934186,2026-07-01T20:06:00,TWR-138
9375742874,IMEI-3310813747,IMSI-0244709152,2026-08-21T00:21:00,TWR-112
9114542068,IMEI-9239938505,IMSI-7368720283,2026-08-12T14:55:00,TWR-102
9941262446,IMEI-4415336975,IMSI-5893841131,2026-08-05T19:03:00,TWR-130
9291560480,IMEI-6197984381,IMSI-7712208365,2026-08-21T09:48:00,TWR-104
9620805495,IMEI-9798503611,IMSI-7553029147,2026-07-26T02:18:00,TWR-183
9891184672,IMEI-0027364086,IMSI-7196040460,2026-08-25T22:08:00,TWR-129
9683509307,IMEI-2052204318,IMSI-5650646676,2026-08-09T22:18:00,TWR-192
9271253582,IMEI-9510152690,IMSI-1089208945,2026-08-16T01:09:00,TWR-124
9800529753,IMEI-2023051743,IMSI-8062170797,2026-07-18T15:59:00,TWR-119
9234395369,IMEI-6790078680,IMSI-6560719571,2026-07-07T20:33:00,TWR-123
9202854808,IMEI-3759034903,IMSI-6891418260,2026-07-31T23:53:00,TWR-139
9876475967,IMEI-3138720991,IMSI-5507487276,2026-07-29T08:49:00,TWR-145
9954882339,IMEI-9986404688,IMSI-6508308241,2026-07-04T23:09:00,TWR-165
9349613120,IMEI-7120450068,IMSI-1755976326,2026-07-08T19:29:00,TWR-165
9814488986,IMEI-8402450836,IMSI-9997976132,2026-07-05T18:42:00,TWR-186
9586592627,IMEI-9592646825,IMSI-6747179784,2026-07-24T06:21:00,TWR-109
9119797995,IMEI-5706195678,IMSI-2254105709,2026-08-25T11:11:00,TWR-164
9406454159,IMEI-5200339415,IMSI-3882619019,2026-08-15T06:11:00,TWR-173
9218695154,IMEI-6064697905,IMSI-4183599345,2026-07-10T15:40:00,TWR-191
9416151222,IMEI-8768119539,IMSI-3558405416,2026-07-28T14:52:00,TWR-108
9676650588,IMEI-2535874395,IMSI-7029071889,2026-07-08T14:53:00,TWR-152
9432473370,IMEI-4360642625,IMSI-9597368029,2026-08-19T06:30:00,TWR-161
9815172061,IMEI-7892314815,IMSI-3616881557,2026-08-22T23:42:00,TWR-142
9678920670,IMEI-6615710243,IMSI-4687231211,2026-07-06T10:34:00,TWR-119
9814488986,IMEI-8402450836,IMSI-9997976132,2026-07-17T05:06:00,TWR-102
9495481440,IMEI-7343978348,IMSI-7299004607,2026-07-21T12:33:00,TWR-138
9308845429,IMEI-7694229206,IMSI-6769302918,2026-08-04T23:21:00,TWR-140
9375742874,IMEI-3310813747,IMSI-0244709152,2026-07-24T18:43:00,TWR-151
9325983817,IMEI-3400499804,IMSI-0005369733,2026-08-13T16:41:00,TWR-174
9792178365,IMEI-5340830680,IMSI-1385621710,2026-08-04T15:47:00,TWR-187
9200234695,IMEI-3610403394,IMSI-1168400464,2026-07-03T14:25:00,TWR-140
9048671311,IMEI-7087479062,IMSI-9129449046,2026-07-29T00:15:00,TWR-177
9420863611,IMEI-4537963191,IMSI-3558536002,2026-07-17T07:09:00,TWR-179
9595026413,IMEI-4335200281,IMSI-3118571879,2026-07-22T16:58:00,TWR-185
9113894274,IMEI-2146302492,IMSI-0540358963,2026-07-15T14:25:00,TWR-151
9648698389,IMEI-2911823345,IMSI-3313210986,2026-08-11T23:20:00,TWR-121
9559321940,IMEI-7522970723,IMSI-5449490568,2026-08-27T14:25:00,TWR-180
9023392439,IMEI-9298268023,IMSI-3857347696,2026-08-14T20:28:00,TWR-112
9971996767,IMEI-7476825008,IMSI-5434181641,2026-08-20T23:44:00,TWR-106
9623121500,IMEI-0108792131,IMSI-6877336484,2026-07-27T02:35:00,TWR-189
9349613120,IMEI-7120450068,IMSI-1755976326,2026-07-02T20:13:00,TWR-163
9587103048,IMEI-7484745666,IMSI-4961482864,2026-08-21T03:09:00,TWR-171
9562679527,IMEI-5177175824,IMSI-9150100589,2026-07-23T07:57:00,TWR-112
9770093141,IMEI-0840929222,IMSI-0710788208,2026-08-19T12:09:00,TWR-118
9200234695,IMEI-3610403394,IMSI-1168400464,2026-07-07T01:07:00,TWR-177
9215138019,IMEI-1469630754,IMSI-5640016715,2026-07-02T03:53:00,TWR-187
9566917456,IMEI-2146515992,IMSI-4568631912,2026-08-18T02:42:00,TWR-106
9423639948,IMEI-4618232726,IMSI-5795032358,2026-07-11T05:08:00,TWR-116
9337047649,IMEI-1256700988,IMSI-3177469602,2026-07-19T07:34:00,TWR-184
9234395369,IMEI-6790078680,IMSI-6560719571,2026-07-22T06:43:00,TWR-114
9325983817,IMEI-3400499804,IMSI-0005369733,2026-07-03T16:02:00,TWR-194
9544975157,IMEI-6465259090,IMSI-4961892459,2026-07-23T17:00:00,TWR-123
9657812846,IMEI-9765732617,IMSI-8249332885,2026-08-13T02:01:00,TWR-169
9566917456,IMEI-2146515992,IMSI-4568631912,2026-07-08T09:24:00,TWR-160
9364540204,IMEI-7194965681,IMSI-8534759259,2026-08-23T04:39:00,TWR-124
9024707036,IMEI-7347992008,IMSI-2888843616,2026-07-23T23:15:00,TWR-118
9535106651,IMEI-2563415290,IMSI-5522573387,2026-07-16T19:26:00,TWR-187
9048184584,IMEI-5556194327,IMSI-0612124765,2026-08-02T04:18:00,TWR-114
9290816302,IMEI-2542781927,IMSI-4339504550,2026-07-17T17:36:00,TWR-109
9481010893,IMEI-2446511237,IMSI-7094747437,2026-07-01T10:38:00,TWR-153
9054186775,IMEI-9137435913,IMSI-3429537630,2026-08-14T02:05:00,TWR-130
9562679527,IMEI-5177175824,IMSI-9150100589,2026-07-08T20:00:00,TWR-138
9973381637,IMEI-4477037948,IMSI-0565775093,2026-08-15T19:47:00,TWR-177
9388850469,IMEI-4386804296,IMSI-9841550156,2026-08-03T11:17:00,TWR-171
9232997749,IMEI-4003336104,IMSI-2045768429,2026-08-22T13:24:00,TWR-122
9353907400,IMEI-6539442892,IMSI-8146537124,2026-08-21T12:16:00,TWR-115
9391686645,IMEI-0016973796,IMSI-5574013757,2026-08-06T00:05:00,TWR-188
9233839146,IMEI-6759945492,IMSI-2643409792,2026-08-10T06:36:00,TWR-110
9960574125,IMEI-3834356980,IMSI-0974141228,2026-07-18T09:47:00,TWR-161
9364091457,IMEI-8369176916,IMSI-5797981795,2026-07-29T05:36:00,TWR-107
9933390585,IMEI-8541751229,IMSI-9861048331,2026-08-04T10:13:00,TWR-166
9048671311,IMEI-7087479062,IMSI-9129449046,2026-07-19T00:40:00,TWR-114
9555807068,IMEI-5801122849,IMSI-2995018542,2026-07-10T16:19:00,TWR-136
9822745513,IMEI-0197789236,IMSI-6673910180,2026-07-07T01:57:00,TWR-168
9876475967,IMEI-3138720991,IMSI-5507487276,2026-08-11T01:12:00,TWR-131
9028267486,IMEI-0990287722,IMSI-1904848888,2026-08-19T03:28:00,TWR-115
9373613848,IMEI-8051756948,IMSI-5607949860,2026-08-24T04:23:00,TWR-185
9874249954,IMEI-4200352328,IMSI-3148847499,2026-07-31T21:37:00,TWR-128
9603548538,IMEI-1415166901,IMSI-2146809813,2026-07-30T11:26:00,TWR-167
9098471173,IMEI-7271949408,IMSI-1881818368,2026-07-04T11:27:00,TWR-182
9429522889,IMEI-3067396449,IMSI-4994327666,2026-07-20T06:51:00,TWR-127
9992206411,IMEI-9575813014,IMSI-2848717749,2026-07-03T23:25:00,TWR-119
9988853930,IMEI-2215295848,IMSI-3024275776,2026-08-10T07:27:00,TWR-143
9904220310,IMEI-2722872527,IMSI-2398195726,2026-08-20T01:08:00,TWR-118
9582184249,IMEI-3779525637,IMSI-7246178112,2026-08-24T10:25:00,TWR-182
9754074724,IMEI-0474251131,IMSI-2798903733,2026-08-08T21:54:00,TWR-156
9364540204,IMEI-7194965681,IMSI-8534759259,2026-08-02T10:45:00,TWR-114
9785939510,IMEI-9982973259,IMSI-4386805117,2026-08-15T02:33:00,TWR-191
9601311183,IMEI-0340657742,IMSI-9412347573,2026-07-29T10:43:00,TWR-147
9052116857,IMEI-9870175705,IMSI-0972807590,2026-07-04T11:11:00,TWR-198
9920240606,IMEI-5708662937,IMSI-3953132652,2026-08-23T20:36:00,TWR-116
9859713678,IMEI-7927657928,IMSI-4020734838,2026-08-19T16:27:00,TWR-109
9402438050,IMEI-2411119216,IMSI-4050734844,2026-08-05T16:41:00,TWR-190
9871873991,IMEI-0075092476,IMSI-8776904064,2026-08-10T19:43:00,TWR-107
9819214001,IMEI-1646085124,IMSI-6480506350,2026-07-14T10:32:00,TWR-116
9507598515,IMEI-5650545635,IMSI-1175969441,2026-07-30T08:46:00,TWR-126
9266407928,IMEI-1315633685,IMSI-6515307291,2026-08-06T00:57:00,TWR-108
9991205817,IMEI-9329436732,IMSI-9249137229,2026-07-15T05:54:00,TWR-164
9089204157,IMEI-1891015126,IMSI-6860080383,2026-07-12T18:56:00,TWR-112
9798271778,IMEI-6338109511,IMSI-1483709143,2026-07-02T22:19:00,TWR-166
9662883030,IMEI-9793759340,IMSI-0978942284,2026-07-18T08:58:00,TWR-116
9167649836,IMEI-3998783293,IMSI-5271989094,2026-08-03T16:42:00,TWR-164
9717964393,IMEI-1336166221,IMSI-3798227162,2026-07-22T21:00:00,TWR-197
9626296040,IMEI-8392209518,IMSI-3728872159,2026-08-15T03:25:00,TWR-143
9595026413,IMEI-4335200281,IMSI-3118571879,2026-07-01T11:05:00,TWR-133
9521820994,IMEI-2715093351,IMSI-4565984056,2026-08-10T04:07:00,TWR-104
9781499194,IMEI-6669642686,IMSI-3835370494,2026-07-09T13:36:00,TWR-162
9905828031,IMEI-0781238549,IMSI-4012237783,2026-08-24T17:22:00,TWR-115
9480993572,IMEI-2381321447,IMSI-8222237676,2026-07-25T11:21:00,TWR-164
9587463342,IMEI-7113682872,IMSI-7384833540,2026-07-19T15:34:00,TWR-169
9927033369,IMEI-7870679587,IMSI-9719498305,2026-08-13T14:00:00,TWR-165
9362272684,IMEI-5958935981,IMSI-2951362368,2026-08-25T07:59:00,TWR-161
9423639948,IMEI-4618232726,IMSI-5795032358,2026-07-14T23:07:00,TWR-174
9323048675,IMEI-0866984245,IMSI-7340621185,2026-07-22T01:48:00,TWR-118
9014685172,IMEI-5531176811,IMSI-1537511506,2026-07-11T05:24:00,TWR-165
9502624719,IMEI-5003891237,IMSI-9635494234,2026-07-08T07:53:00,TWR-138
9568945147,IMEI-3313579640,IMSI-8087521525,2026-08-25T18:19:00,TWR-154
9613879165,IMEI-8541925296,IMSI-6940659123,2026-07-22T08:07:00,TWR-182
9731033395,IMEI-1123291676,IMSI-2226558836,2026-07-09T23:23:00,TWR-146
9111007715,IMEI-2993553676,IMSI-6251384966,2026-07-02T07:40:00,TWR-162
9052116857,IMEI-9870175705,IMSI-0972807590,2026-08-09T13:39:00,TWR-155
9416151222,IMEI-8768119539,IMSI-3558405416,2026-08-15T00:48:00,TWR-168
9917643972,IMEI-7312323584,IMSI-2916220010,2026-08-13T08:27:00,TWR-174
9251924510,IMEI-7177124242,IMSI-2693810245,2026-07-31T04:11:00,TWR-188
9451525376,IMEI-8511467861,IMSI-3331904361,2026-08-04T05:52:00,TWR-126
9485847011,IMEI-3616414782,IMSI-7156462613,2026-08-11T04:16:00,TWR-190
9910619958,IMEI-5465799488,IMSI-1223516197,2026-08-11T21:57:00,TWR-122
9665069854,IMEI-0252360147,IMSI-4268227945,2026-08-05T06:07:00,TWR-103
9566917456,IMEI-2146515992,IMSI-4568631912,2026-07-25T08:11:00,TWR-100
9114542068,IMEI-9239938505,IMSI-7368720283,2026-07-22T01:02:00,TWR-108
9183357251,IMEI-9542888361,IMSI-9383065515,2026-08-07T16:31:00,TWR-183
9327888369,IMEI-7698981986,IMSI-6354953088,2026-08-15T17:42:00,TWR-188
9273451778,IMEI-3536885796,IMSI-4887200854,2026-08-02T13:16:00,TWR-140
9641643119,IMEI-9263370349,IMSI-4083002667,2026-07-19T13:16:00,TWR-102
9853795114,IMEI-1352490271,IMSI-3408296210,2026-08-04T05:58:00,TWR-181
9568945147,IMEI-3313579640,IMSI-8087521525,2026-07-07T23:41:00,TWR-137
9156043823,IMEI-0151934166,IMSI-9047151207,2026-07-28T06:21:00,TWR-137
9119689122,IMEI-4968221667,IMSI-5571547255,2026-08-27T13:24:00,TWR-157
9241105711,IMEI-9803656515,IMSI-7082186948,2026-07-24T08:54:00,TWR-108
9597685625,IMEI-4686630566,IMSI-6009527101,2026-08-25T03:54:00,TWR-153
9419499003,IMEI-4927002694,IMSI-4402857394,2026-08-29T03:55:00,TWR-122
9925397865,IMEI-3898523377,IMSI-3949130418,2026-07-30T19:45:00,TWR-167
9437723988,IMEI-4298782594,IMSI-8119107350,2026-08-12T19:02:00,TWR-135
9551393227,IMEI-5780546754,IMSI-2445620930,2026-07-26T05:23:00,TWR-175
9021337833,IMEI-4115577692,IMSI-3726160042,2026-07-22T13:45:00,TWR-105
9897114683,IMEI-8939275552,IMSI-7241239884,2026-08-28T17:11:00,TWR-156
9792178365,IMEI-5340830680,IMSI-1385621710,2026-08-22T15:56:00,TWR-192
9594924991,IMEI-3630121292,IMSI-8018351121,2026-07-08T09:04:00,TWR-171
9863626383,IMEI-3156686324,IMSI-3105190338,2026-08-29T03:52:00,TWR-178
9053036677,IMEI-5162495928,IMSI-8796626944,2026-07-08T12:53:00,TWR-163
9835358094,IMEI-4314635019,IMSI-0245519763,2026-08-09T20:36:00,TWR-118
9692552797,IMEI-1764458848,IMSI-3966457784,2026-07-15T07:34:00,TWR-108
9156490709,IMEI-2198278959,IMSI-7494703100,2026-08-14T22:08:00,TWR-125
9468748835,IMEI-5361336908,IMSI-4651458287,2026-08-26T15:15:00,TWR-182
9235973021,IMEI-2583943185,IMSI-8616009985,2026-08-02T23:12:00,TWR-120
9206752746,IMEI-5711397258,IMSI-7467067157,2026-08-04T18:02:00,TWR-149
9533492995,IMEI-3442653754,IMSI-7225620982,2026-08-27T15:44:00,TWR-102
9032926051,IMEI-6529088324,IMSI-0974431797,2026-08-18T17:14:00,TWR-111
9490684265,IMEI-6725708846,IMSI-3251399263,2026-08-08T19:39:00,TWR-129
9347052967,IMEI-5448119712,IMSI-9901365634,2026-07-23T00:45:00,TWR-153
9641445280,IMEI-6990651019,IMSI-4884701240,2026-07-13T08:33:00,TWR-162
9904918041,IMEI-9240363234,IMSI-6447246867,2026-07-03T19:19:00,TWR-116
9809362966,IMEI-6207009819,IMSI-1302045948,2026-08-11T03:58:00,TWR-109
9824810215,IMEI-6544511135,IMSI-2088992459,2026-07-22T20:55:00,TWR-138
9169655864,IMEI-1253979739,IMSI-7565164348,2026-07-31T09:48:00,TWR-174
9207971522,IMEI-7443674400,IMSI-3923742160,2026-07-24T23:56:00,TWR-139
9974289528,IMEI-9081698993,IMSI-7754855127,2026-07-07T19:54:00,TWR-178
9539232741,IMEI-0531647418,IMSI-3346879319,2026-07-18T02:32:00,TWR-194
9694458096,IMEI-8042671714,IMSI-3468585288,2026-08-01T12:06:00,TWR-163
9524417224,IMEI-0151188291,IMSI-1260342701,2026-07-05T03:43:00,TWR-179
9215138019,IMEI-1469630754,IMSI-5640016715,2026-07-31T08:29:00,TWR-161
9743555336,IMEI-1879763705,IMSI-9643160587,2026-08-12T07:58:00,TWR-181
9190777522,IMEI-6160323305,IMSI-9254337711,2026-07-21T14:17:00,TWR-181
9780874168,IMEI-1814714635,IMSI-9283753410,2026-08-06T06:27:00,TWR-113
9386896000,IMEI-4962986758,IMSI-2471331430,2026-08-26T20:19:00,TWR-108
9563850020,IMEI-6954138012,IMSI-9172128616,2026-07-20T10:01:00,TWR-146
9597122314,IMEI-8709746261,IMSI-0634704633,2026-07-17T07:06:00,TWR-155
9199646627,IMEI-8703526006,IMSI-2286385757,2026-08-03T23:18:00,TWR-134
9375742874,IMEI-3310813747,IMSI-0244709152,2026-07-29T01:47:00,TWR-160
9636579261,IMEI-7647856716,IMSI-6153608435,2026-08-28T23:30:00,TWR-105
9482868447,IMEI-9645744869,IMSI-4659880035,2026-07-21T12:56:00,TWR-101
9983142650,IMEI-9388404548,IMSI-4148752876,2026-08-01T04:19:00,TWR-109
9717964393,IMEI-1336166221,IMSI-3798227162,2026-07-10T17:01:00,TWR-150
9328742878,IMEI-0159171950,IMSI-9753393771,2026-08-25T02:33:00,TWR-169
9873599794,IMEI-2018688559,IMSI-1432340619,2026-08-06T09:43:00,TWR-192
9904845915,IMEI-2928562860,IMSI-0191416813,2026-07-18T02:40:00,TWR-158
9026954613,IMEI-9561082774,IMSI-4696531085,2026-07-03T11:01:00,TWR-109
9218695154,IMEI-6064697905,IMSI-4183599345,2026-07-31T16:23:00,TWR-138
9290181585,IMEI-1507527980,IMSI-8858192226,2026-07-08T17:01:00,TWR-110
9396454436,IMEI-9562527096,IMSI-8818089029,2026-08-08T21:39:00,TWR-164
9891712996,IMEI-2417841663,IMSI-9782591182,2026-08-11T03:49:00,TWR-174
9603548538,IMEI-1415166901,IMSI-2146809813,2026-08-26T14:17:00,TWR-120
9887832742,IMEI-3548201949,IMSI-9971589500,2026-07-15T12:08:00,TWR-176
9521820994,IMEI-2715093351,IMSI-4565984056,2026-07-25T12:43:00,TWR-116
9366850427,IMEI-4191750603,IMSI-7365428640,2026-08-10T14:11:00,TWR-137
9282096728,IMEI-0338852094,IMSI-8039563622,2026-07-31T04:40:00,TWR-131
9920240606,IMEI-5708662937,IMSI-3953132652,2026-07-29T06:52:00,TWR-175
9927402184,IMEI-8660428186,IMSI-3269225489,2026-07-29T00:06:00,TWR-189
9657812846,IMEI-9765732617,IMSI-8249332885,2026-08-09T13:00:00,TWR-192
9210244612,IMEI-6189465100,IMSI-7205358651,2026-07-28T16:49:00,TWR-100
9874249954,IMEI-4200352328,IMSI-3148847499,2026-07-31T02:01:00,TWR-152
9048184584,IMEI-5556194327,IMSI-0612124765,2026-07-13T16:05:00,TWR-143
9485847011,IMEI-3616414782,IMSI-7156462613,2026-07-11T20:54:00,TWR-176
9905828031,IMEI-0781238549,IMSI-4012237783,2026-08-26T21:38:00,TWR-168
9623701950,IMEI-1007524639,IMSI-3459351007,2026-08-09T11:07:00,TWR-111
9971996767,IMEI-7476825008,IMSI-5434181641,2026-08-28T14:07:00,TWR-166
9651614051,IMEI-8947014715,IMSI-1840697069,2026-08-05T15:35:00,TWR-187
9349613120,IMEI-7120450068,IMSI-1755976326,2026-07-20T03:44:00,TWR-160
9075020416,IMEI-7025149198,IMSI-1738385411,2026-07-14T15:21:00,TWR-196
9626296040,IMEI-8392209518,IMSI-3728872159,2026-07-12T03:43:00,TWR-162
9353907400,IMEI-6539442892,IMSI-8146537124,2026-08-02T03:54:00,TWR-152
9025067408,IMEI-8800707702,IMSI-7764375199,2026-08-02T19:20:00,TWR-151
9991205817,IMEI-9329436732,IMSI-9249137229,2026-08-21T11:13:00,TWR-144
