node,in_degree,out_degree,incoming_transactions,outgoing_transactions,total_in_amount,total_out_amount,shared_device,multi_hop_routing,pass_through_ratio,max_fanout_counterparties,high_velocity_fanout,high_in_degree,high_value_flow,anomaly_flag,anomaly_score,risk_score,risk_reasons,risk_tier,scoring_model_version
9200375438,22,12,22,12,43605.0,7180.0,False,False,0.0,1,False,True,True,1,-0.0142,25,unusually high fanin; high value flow,LOW,2026.09.1
9233839146,20,12,20,12,32120.0,12440.0,False,False,0.0,1,False,True,True,1,-0.0606,25,unusually high fanin; high value flow,LOW,2026.09.1
9333160902,26,9,26,9,19340.0,4460.0,False,False,0.0,1,False,True,False,-1,0.0052,25,unusually high fanin; behavioural outlier,LOW,2026.09.1
9353907400,15,17,15,17,20060.0,14280.0,False,False,0.0,2,True,False,False,-1,0.0118,25,rapid fanout; behavioural outlier,LOW,2026.09.1
9402819790,5,8,5,8,2395.0,4830.0,False,False,0.0,2,True,False,False,-1,0.1041,25,rapid fanout; behavioural outlier,LOW,2026.09.1
9539773000,21,12,22,13,33450.0,7800.0,False,False,0.0,1,False,True,True,1,-0.0316,25,unusually high fanin; high value flow,LOW,2026.09.1
9641643119,10,19,10,19,16290.0,21830.0,False,False,0.0,2,True,False,False,-1,0.0421,25,rapid fanout; behavioural outlier,LOW,2026.09.1
9695618974,18,11,18,11,29540.0,15580.0,False,False,0.0,1,False,True,True,1,-0.0927,25,unusually high fanin; high value flow,LOW,2026.09.1
9743555336,7,14,7,14,8150.0,9505.0,False,False,0.0,2,True,False,False,-1,0.0092,25,rapid fanout; behavioural outlier,LOW,2026.09.1
9819214001,18,12,18,12,11670.0,36140.0,False,False,3.143,1,False,True,True,1,-0.0783,25,unusually high fanin; high value flow,LOW,2026.09.1
9834003292,9,18,9,18,11360.0,19655.0,False,False,0.0,2,True,False,False,-1,0.0123,25,rapid fanout; behavioural outlier,LOW,2026.09.1
9837704899,16,15,16,16,11390.0,31025.0,False,False,0.0,1,False,True,True,1,-0.1098,25,unusually high fanin; high value flow,LOW,2026.09.1
9127592756,0,1,0,1,0.0,48000.0,False,False,0.0,1,False,False,True,-1,0.2516,20,high value flow; behavioural outlier,LOW,2026.09.1
finalpoint.cashout@upi,2,0,2,0,46000.0,0.0,False,False,0.0,0,False,False,True,-1,0.2635,20,high value flow; behavioural outlier,LOW,2026.09.1
9026954613,19,14,19,14,22130.0,19235.0,False,False,0.0,1,False,True,False,1,-0.0954,15,unusually high fanin,LOW,2026.09.1
9048184584,12,11,12,11,11665.0,14140.0,False,False,0.0,2,True,False,False,1,-0.0359,15,rapid fanout,LOW,2026.09.1
9054186775,17,12,17,12,15875.0,13825.0,False,False,0.0,1,False,True,False,1,-0.1482,15,unusually high fanin,LOW,2026.09.1
9067351927,20,11,21,12,19285.0,16105.0,False,False,0.0,1,False,True,False,1,-0.0791,15,unusually high fanin,LOW,2026.09.1
9078522433,16,13,16,13,17960.0,18745.0,False,False,0.0,1,False,True,False,1,-0.1417,15,unusually high fanin,LOW,2026.09.1
9090925546,18,12,18,12,21885.0,14600.0,False,False,0.0,1,False,True,False,1,-0.1227,15,unusually high fanin,LOW,2026.09.1
9098471173,16,14,16,14,14605.0,10355.0,False,False,0.0,1,False,True,False,1,-0.1573,15,unusually high fanin,LOW,2026.09.1
9106672436,19,11,19,11,22770.0,16415.0,False,False,0.0,1,False,True,False,1,-0.1016,15,unusually high fanin,LOW,2026.09.1
9111007715,16,11,16,11,11120.0,8845.0,False,False,0.0,1,False,True,False,1,-0.1683,15,unusually high fanin,LOW,2026.09.1
9167649836,16,12,16,12,15010.0,7810.0,False,False,0.0,1,False,True,False,1,-0.1625,15,unusually high fanin,LOW,2026.09.1
9177920452,17,12,18,12,15270.0,7000.0,False,False,0.0,1,False,True,False,1,-0.134,15,unusually high fanin,LOW,2026.09.1
9188404618,16,9,16,9,14155.0,10165.0,False,False,0.0,1,False,True,False,1,-0.1509,15,unusually high fanin,LOW,2026.09.1
9207971522,16,10,16,10,13565.0,11235.0,False,False,0.487,1,False,True,False,1,-0.1588,15,unusually high fanin,LOW,2026.09.1
9249363568,16,12,16,13,19005.0,9750.0,False,False,0.0,1,False,True,False,1,-0.1569,15,unusually high fanin,LOW,2026.09.1
9252995406,17,15,17,15,24630.0,17355.0,False,False,0.0,1,False,True,False,1,-0.1022,15,unusually high fanin,LOW,2026.09.1
9256575052,16,20,16,20,10510.0,12845.0,False,False,0.0,1,False,True,False,1,-0.0662,15,unusually high fanin,LOW,2026.09.1
9258558771,16,12,16,12,16315.0,12200.0,False,False,0.0,1,False,True,False,1,-0.1592,15,unusually high fanin,LOW,2026.09.1
9265230098,18,9,19,9,12830.0,7900.0,False,False,0.514,1,False,True,False,1,-0.1216,15,unusually high fanin,LOW,2026.09.1
9271401903,20,18,21,18,21995.0,22190.0,False,False,0.0,1,False,True,False,1,-0.0249,15,unusually high fanin,LOW,2026.09.1
9274610699,21,18,21,18,21720.0,13300.0,False,False,0.0,1,False,True,False,1,-0.0213,15,unusually high fanin,LOW,2026.09.1
9293480844,22,10,22,10,19855.0,5840.0,False,False,0.0,1,False,True,False,1,-0.0464,15,unusually high fanin,LOW,2026.09.1
9325983817,18,13,18,13,15245.0,20625.0,False,False,15.391,1,False,True,False,1,-0.1158,15,unusually high fanin,LOW,2026.09.1
9330833334,17,16,17,16,15485.0,11775.0,False,False,0.0,1,False,True,False,1,-0.1259,15,unusually high fanin,LOW,2026.09.1
9339899280,16,17,16,17,13335.0,13395.0,False,False,0.0,1,False,True,False,1,-0.1216,15,unusually high fanin,LOW,2026.09.1
9342606616,12,12,12,12,12140.0,5555.0,False,False,0.182,2,True,False,False,1,-0.0103,15,rapid fanout,LOW,2026.09.1
9352364431,20,17,20,19,18890.0,26305.0,False,False,0.0,1,False,True,False,1,-0.0154,15,unusually high fanin,LOW,2026.09.1
9374975071,16,14,16,14,10235.0,13200.0,False,False,0.0,1,False,True,False,1,-0.1573,15,unusually high fanin,LOW,2026.09.1
9375742874,18,7,18,7,18790.0,3250.0,False,False,0.0,1,False,True,False,1,-0.0346,15,unusually high fanin,LOW,2026.09.1
9384008626,17,12,18,14,9790.0,23725.0,False,False,0.0,1,False,True,False,1,-0.1018,15,unusually high fanin,LOW,2026.09.1
9419499003,16,6,17,6,15770.0,7690.0,False,False,0.0,1,False,True,False,1,-0.0719,15,unusually high fanin,LOW,2026.09.1
9438228471,22,15,22,15,28115.0,10085.0,False,False,0.0,1,False,True,False,1,-0.037,15,unusually high fanin,LOW,2026.09.1
9446485809,17,12,17,12,22020.0,11240.0,False,False,0.0,1,False,True,False,1,-0.1442,15,unusually high fanin,LOW,2026.09.1
9451525376,16,13,16,13,14295.0,10170.0,False,False,0.0,1,False,True,False,1,-0.1614,15,unusually high fanin,LOW,2026.09.1
9451862998,18,16,18,16,10175.0,9060.0,False,False,0.0,1,False,True,False,1,-0.0984,15,unusually high fanin,LOW,2026.09.1
9460888817,16,20,16,20,14160.0,21235.0,False,False,0.0,1,False,True,False,1,-0.0586,15,unusually high fanin,LOW,2026.09.1
9490684265,17,16,17,16,14945.0,8545.0,False,False,0.0,1,False,True,False,1,-0.1217,15,unusually high fanin,LOW,2026.09.1
9511976381,18,9,18,9,23415.0,19825.0,False,False,0.0,1,False,True,False,1,-0.0772,15,unusually high fanin,LOW,2026.09.1
9527246581,16,18,17,18,12730.0,23450.0,False,False,0.0,1,False,True,False,1,-0.0869,15,unusually high fanin,LOW,2026.09.1
9543282721,19,13,20,14,23260.0,11320.0,False,False,0.0,1,False,True,False,1,-0.1019,15,unusually high fanin,LOW,2026.09.1
9563850020,16,7,16,7,19550.0,5680.0,False,False,0.0,1,False,True,False,1,-0.1005,15,unusually high fanin,LOW,2026.09.1
9566917456,18,13,18,13,13360.0,11130.0,False,False,0.0,1,False,True,False,1,-0.1369,15,unusually high fanin,LOW,2026.09.1
9587103048,16,10,16,10,20415.0,9935.0,False,False,0.198,1,False,True,False,1,-0.15,15,unusually high fanin,LOW,2026.09.1
9616289158,18,6,18,6,25125.0,3935.0,False,False,0.0,1,False,True,False,1,-0.01,15,unusually high fanin,LOW,2026.09.1
9620805495,20,11,20,11,12150.0,9855.0,False,False,0.0,1,False,True,False,1,-0.0986,15,unusually high fanin,LOW,2026.09.1
9636952352,18,13,19,13,20315.0,12420.0,False,False,0.0,1,False,True,False,1,-0.1204,15,unusually high fanin,LOW,2026.09.1
9641445280,17,16,17,16,21870.0,12430.0,False,False,0.0,1,False,True,False,1,-0.1118,15,unusually high fanin,LOW,2026.09.1
9661642277,10,13,10,15,7770.0,15345.0,False,False,0.0,2,True,False,False,1,-0.0191,15,rapid fanout,LOW,2026.09.1
9662136738,11,15,11,15,7120.0,26210.0,False,False,0.0,2,True,False,False,1,-0.0013,15,rapid fanout,LOW,2026.09.1
9662883030,12,14,12,15,23665.0,11610.0,False,False,0.0,2,True,False,False,1,-0.0058,15,rapid fanout,LOW,2026.09.1
9666442915,17,7,17,7,16415.0,5515.0,False,False,0.0,1,False,True,False,1,-0.0923,15,unusually high fanin,LOW,2026.09.1
9676650588,12,11,12,11,13190.0,8615.0,False,False,0.0,2,True,False,False,1,-0.0242,15,rapid fanout,LOW,2026.09.1
9683847079,22,11,22,11,13700.0,10735.0,False,False,0.0,1,False,True,False,1,-0.0717,15,unusually high fanin,LOW,2026.09.1
9688853201,17,8,17,8,14880.0,4725.0,False,False,0.0,1,False,True,False,1,-0.1079,15,unusually high fanin,LOW,2026.09.1
9694458096,16,9,18,9,12800.0,12280.0,False,False,0.0,1,False,True,False,1,-0.1204,15,unusually high fanin,LOW,2026.09.1
9707711861,19,8,20,8,18240.0,8795.0,False,False,0.0,1,False,True,False,1,-0.0691,15,unusually high fanin,LOW,2026.09.1
9712239771,16,12,16,12,10125.0,8730.0,False,False,0.0,1,False,True,False,1,-0.1668,15,unusually high fanin,LOW,2026.09.1
9727226471,22,10,23,10,11570.0,15950.0,False,False,0.0,1,False,True,False,1,-0.0441,15,unusually high fanin,LOW,2026.09.1
9754074724,16,11,16,11,27400.0,7520.0,False,False,0.0,1,False,True,False,1,-0.1331,15,unusually high fanin,LOW,2026.09.1
9763462687,19,14,19,14,12335.0,8995.0,False,False,0.0,1,False,True,False,1,-0.1131,15,unusually high fanin,LOW,2026.09.1
9781338414,18,8,19,8,11470.0,5655.0,False,False,0.0,1,False,True,False,1,-0.0874,15,unusually high fanin,LOW,2026.09.1
9784533346,16,10,17,10,14065.0,13420.0,False,False,0.0,1,False,True,False,1,-0.1396,15,unusually high fanin,LOW,2026.09.1
9785939510,21,14,21,14,23820.0,10600.0,False,False,0.0,1,False,True,False,1,-0.0676,15,unusually high fanin,LOW,2026.09.1
9792178365,19,14,19,14,17275.0,7880.0,False,False,0.0,1,False,True,False,1,-0.1074,15,unusually high fanin,LOW,2026.09.1
9794873598,9,12,9,12,5455.0,15080.0,False,False,0.0,2,True,False,False,1,-0.0116,15,rapid fanout,LOW,2026.09.1
9810056905,18,11,18,11,9725.0,8455.0,False,False,0.0,1,False,True,False,1,-0.1309,15,unusually high fanin,LOW,2026.09.1
9814488986,17,14,17,14,9830.0,12210.0,False,False,0.0,1,False,True,False,1,-0.1398,15,unusually high fanin,LOW,2026.09.1
9822092764,16,10,16,11,19090.0,7950.0,False,False,2.458,1,False,True,False,1,-0.1557,15,unusually high fanin,LOW,2026.09.1
9829662079,20,16,20,17,18690.0,14000.0,False,False,0.0,1,False,True,False,1,-0.0593,15,unusually high fanin,LOW,2026.09.1
9863248414,17,9,17,9,20290.0,9715.0,False,False,0.0,1,False,True,False,1,-0.129,15,unusually high fanin,LOW,2026.09.1
9934372835,16,5,16,5,10825.0,9900.0,False,False,0.0,1,False,True,False,1,-0.0393,15,unusually high fanin,LOW,2026.09.1
9950780803,20,14,21,14,23600.0,8280.0,False,False,0.0,1,False,True,False,1,-0.0727,15,unusually high fanin,LOW,2026.09.1
9967256212,16,10,16,10,15120.0,7630.0,False,False,8.382,1,False,True,False,1,-0.1596,15,unusually high fanin,LOW,2026.09.1
9974289528,16,17,17,17,14575.0,14585.0,False,False,0.0,1,False,True,False,1,-0.104,15,unusually high fanin,LOW,2026.09.1
9988853930,17,11,17,11,19120.0,7415.0,False,False,0.0,1,False,True,False,1,-0.1443,15,unusually high fanin,LOW,2026.09.1
9993223299,18,19,18,20,21925.0,17045.0,False,False,0.66,1,False,True,False,1,-0.0386,15,unusually high fanin,LOW,2026.09.1
9021612144,6,6,6,6,2420.0,6975.0,False,False,0.0,1,False,False,False,-1,0.0079,10,behavioural outlier,LOW,2026.09.1
9052248897,9,4,9,4,12555.0,1750.0,False,False,0.0,1,False,False,False,-1,0.0744,10,behavioural outlier,LOW,2026.09.1
9096395260,7,13,7,13,8705.0,30340.0,False,False,0.0,1,False,False,True,1,-0.0995,10,high value flow,LOW,2026.09.1
9113894274,3,16,3,16,3190.0,10795.0,False,False,0.0,1,False,False,False,-1,0.049,10,behavioural outlier,LOW,2026.09.1
9118141811,14,13,14,13,34125.0,9990.0,False,False,0.0,1,False,False,True,1,-0.1125,10,high value flow,LOW,2026.09.1
9127967516,11,18,11,18,15775.0,30590.0,False,False,0.0,1,False,False,True,1,-0.0924,10,high value flow,LOW,2026.09.1
9153514440,12,20,13,20,29215.0,22295.0,False,False,0.0,1,False,False,True,1,-0.0274,10,high value flow,LOW,2026.09.1
9163673270,13,12,13,12,29760.0,12265.0,False,False,0.0,1,False,False,True,1,-0.1316,10,high value flow,LOW,2026.09.1
9241105711,7,12,7,13,7235.0,28270.0,False,False,0.0,1,False,False,True,1,-0.1044,10,high value flow,LOW,2026.09.1
9260117805,13,16,13,16,12455.0,35165.0,False,False,0.0,1,False,False,True,1,-0.1143,10,high value flow,LOW,2026.09.1
9279851207,6,5,6,5,3085.0,5710.0,False,False,0.0,1,False,False,False,-1,0.0371,10,behavioural outlier,LOW,2026.09.1
9291807385,2,12,2,12,645.0,10885.0,False,False,0.0,1,False,False,False,-1,0.0903,10,behavioural outlier,LOW,2026.09.1
9308845429,3,14,3,14,1830.0,5400.0,False,False,0.0,1,False,False,False,-1,0.0728,10,behavioural outlier,LOW,2026.09.1
9318467976,3,10,3,10,1345.0,9425.0,False,False,0.0,1,False,False,False,-1,0.0645,10,behavioural outlier,LOW,2026.09.1
9343853185,8,12,8,12,17860.0,30380.0,False,False,0.0,1,False,False,True,1,-0.1003,10,high value flow,LOW,2026.09.1
9420515785,12,16,12,16,12750.0,29090.0,False,False,0.0,1,False,False,True,1,-0.1349,10,high value flow,LOW,2026.09.1
9432789553,9,12,9,12,12600.0,29960.0,False,False,0.0,1,False,False,True,1,-0.1308,10,high value flow,LOW,2026.09.1
9482868447,12,16,12,16,14000.0,30385.0,False,False,0.0,1,False,False,True,1,-0.1266,10,high value flow,LOW,2026.09.1
9485267539,11,19,11,20,36395.0,12645.0,False,False,0.0,1,False,False,True,1,-0.0397,10,high value flow,LOW,2026.09.1
9542905882,7,3,7,3,5210.0,2510.0,False,False,0.0,1,False,False,False,-1,0.0974,10,behavioural outlier,LOW,2026.09.1
9587008315,14,19,15,19,18005.0,28820.0,False,False,0.0,1,False,False,True,1,-0.0709,10,high value flow,LOW,2026.09.1
9592735921,9,14,9,14,9720.0,30720.0,False,False,0.0,1,False,False,True,1,-0.1315,10,high value flow,LOW,2026.09.1
9648241344,9,4,9,4,6425.0,8330.0,False,False,0.0,1,False,False,False,-1,0.0006,10,behavioural outlier,LOW,2026.09.1
9648698389,11,11,11,11,11600.0,29100.0,False,False,0.0,1,False,False,True,1,-0.1384,10,high value flow,LOW,2026.09.1
9706517113,5,7,5,7,1435.0,6715.0,False,False,0.0,1,False,False,False,-1,0.0278,10,behavioural outlier,LOW,2026.09.1
9736840619,13,5,13,5,14070.0,2395.0,False,False,0.0,1,False,False,False,-1,0.0048,10,behavioural outlier,LOW,2026.09.1
9808579845,4,5,4,5,8760.0,4430.0,False,False,0.0,1,False,False,False,-1,0.0701,10,behavioural outlier,LOW,2026.09.1
9828083255,9,11,9,11,33170.0,5900.0,False,False,0.0,1,False,False,True,1,-0.0842,10,high value flow,LOW,2026.09.1
9872545071,6,12,6,12,2130.0,33425.0,False,False,0.0,1,False,False,True,1,-0.0033,10,high value flow,LOW,2026.09.1
9915684975,5,17,5,17,1890.0,18290.0,False,False,0.0,1,False,False,False,-1,0.0107,10,behavioural outlier,LOW,2026.09.1
9983671609,14,14,14,14,30435.0,15730.0,False,False,0.0,1,False,False,True,1,-0.1192,10,high value flow,LOW,2026.09.1
9001971594,8,7,8,7,4700.0,6035.0,False,False,0.0,1,False,False,False,1,-0.103,0,,LOW,2026.09.1
9002468794,13,8,13,9,11255.0,9220.0,False,False,0.0,1,False,False,False,1,-0.1632,0,,LOW,2026.09.1
9002978753,15,11,15,11,20655.0,11030.0,False,False,0.0,1,False,False,False,1,-0.1619,0,,LOW,2026.09.1
9003474782,13,13,13,13,13465.0,23480.0,False,False,0.0,1,False,False,False,1,-0.1566,0,,LOW,2026.09.1
9007309220,11,13,11,13,8425.0,10600.0,False,False,0.0,1,False,False,False,1,-0.1821,0,,LOW,2026.09.1
9007836490,15,21,15,21,12585.0,13280.0,False,False,0.0,1,False,False,False,1,-0.0653,0,,LOW,2026.09.1
9008584061,15,14,16,14,17340.0,11545.0,False,False,0.0,1,False,False,False,1,-0.1582,0,,LOW,2026.09.1
9008722810,11,9,11,9,10300.0,8290.0,False,False,2.141,1,False,False,False,1,-0.1731,0,,LOW,2026.09.1
9013502707,11,12,11,13,8330.0,11965.0,False,False,0.0,1,False,False,False,1,-0.1834,0,,LOW,2026.09.1
9014685172,11,11,11,12,10785.0,13180.0,False,False,0.0,1,False,False,False,1,-0.1829,0,,LOW,2026.09.1
9015589230,8,11,8,11,11550.0,20330.0,False,False,0.0,1,False,False,False,1,-0.1462,0,,LOW,2026.09.1
9021337833,8,12,8,12,12985.0,15150.0,False,False,0.0,1,False,False,False,1,-0.1572,0,,LOW,2026.09.1
9023392439,15,14,15,14,11475.0,16870.0,False,False,0.0,1,False,False,False,1,-0.162,0,,LOW,2026.09.1
9024452049,14,14,14,14,15565.0,10150.0,False,False,0.0,1,False,False,False,1,-0.1688,0,,LOW,2026.09.1
9024707036,9,10,9,10,9695.0,11680.0,False,False,0.0,1,False,False,False,1,-0.1718,0,,LOW,2026.09.1
9025067408,12,16,12,16,8010.0,12030.0,False,False,0.0,1,False,False,False,1,-0.1587,0,,LOW,2026.09.1
9026804519,9,14,9,14,4570.0,11300.0,False,False,0.0,1,False,False,False,1,-0.1486,0,,LOW,2026.09.1
9027410813,11,15,11,15,6025.0,16925.0,False,False,0.0,1,False,False,False,1,-0.1536,0,,LOW,2026.09.1
9027966628,11,14,11,14,14005.0,15225.0,False,False,0.0,1,False,False,False,1,-0.171,0,,LOW,2026.09.1
9029380964,11,16,11,16,18755.0,23995.0,False,False,0.0,1,False,False,False,1,-0.1264,0,,LOW,2026.09.1
9031225357,10,6,10,6,11380.0,5815.0,False,False,0.0,1,False,False,False,1,-0.0918,0,,LOW,2026.09.1
9032926051,13,16,13,16,21855.0,16530.0,False,False,0.0,1,False,False,False,1,-0.1321,0,,LOW,2026.09.1
9036057232,10,11,10,11,6470.0,8790.0,False,False,0.0,1,False,False,False,1,-0.18,0,,LOW,2026.09.1
9037548430,12,16,12,16,5285.0,17055.0,False,False,0.0,1,False,False,False,1,-0.1363,0,,LOW,2026.09.1
9048233130,15,15,15,15,13650.0,12150.0,False,False,0.0,1,False,False,False,1,-0.1573,0,,LOW,2026.09.1
9048671311,11,8,11,8,10740.0,10390.0,False,False,0.0,1,False,False,False,1,-0.1557,0,,LOW,2026.09.1
9050884189,12,12,12,12,8325.0,8670.0,False,False,0.0,1,False,False,False,1,-0.1835,0,,LOW,2026.09.1
9052861995,11,20,11,20,7480.0,24385.0,False,False,0.0,1,False,False,False,1,-0.0697,0,,LOW,2026.09.1
9053036677,11,11,11,11,8845.0,8200.0,False,False,0.0,1,False,False,False,1,-0.1855,0,,LOW,2026.09.1
9057062130,12,11,12,11,11630.0,4360.0,False,False,0.0,1,False,False,False,1,-0.1547,0,,LOW,2026.09.1
9063565541,11,6,13,7,18680.0,6915.0,False,False,0.0,1,False,False,False,1,-0.1052,0,,LOW,2026.09.1
9065105025,12,12,12,12,11805.0,7685.0,False,False,0.0,1,False,False,False,1,-0.1835,0,,LOW,2026.09.1
9065301484,10,10,10,10,14435.0,6575.0,False,False,0.0,1,False,False,False,1,-0.1611,0,,LOW,2026.09.1
9067973962,11,18,11,18,8560.0,15560.0,False,False,0.0,1,False,False,False,1,-0.134,0,,LOW,2026.09.1
9070145149,9,17,9,18,5530.0,23390.0,False,False,3.804,1,False,False,False,1,-0.1089,0,,LOW,2026.09.1
9075020416,11,12,11,12,8905.0,9825.0,False,False,0.0,1,False,False,False,1,-0.1877,0,,LOW,2026.09.1
9075311300,10,13,10,13,8715.0,25765.0,False,False,0.0,1,False,False,False,1,-0.1545,0,,LOW,2026.09.1
9076549771,10,7,10,7,9780.0,3625.0,False,False,0.0,1,False,False,False,1,-0.0999,0,,LOW,2026.09.1
9081392335,9,10,9,10,16500.0,7875.0,False,False,0.0,1,False,False,False,1,-0.1553,0,,LOW,2026.09.1
9084209783,7,17,8,17,5260.0,12375.0,False,False,0.0,1,False,False,False,1,-0.0973,0,,LOW,2026.09.1
9088410525,13,6,13,6,12595.0,4605.0,False,False,0.0,1,False,False,False,1,-0.0956,0,,LOW,2026.09.1
9089204157,7,12,7,12,3965.0,24905.0,False,False,0.0,1,False,False,False,1,-0.0941,0,,LOW,2026.09.1
9095950087,13,7,13,7,8600.0,7460.0,False,False,0.0,1,False,False,False,1,-0.1277,0,,LOW,2026.09.1
9098713669,15,12,15,13,11210.0,11840.0,False,False,0.0,1,False,False,False,1,-0.17,0,,LOW,2026.09.1
9103825652,15,23,15,23,15940.0,25740.0,False,False,0.0,1,False,False,False,1,-0.0167,0,,LOW,2026.09.1
9108252674,11,9,11,9,11670.0,12505.0,False,False,0.0,1,False,False,False,1,-0.1663,0,,LOW,2026.09.1
9108870955,12,18,12,18,10815.0,17645.0,False,False,0.0,1,False,False,False,1,-0.1321,0,,LOW,2026.09.1
9113920361,9,19,9,19,8425.0,14285.0,False,False,0.0,1,False,False,False,1,-0.1073,0,,LOW,2026.09.1
9114542068,10,11,10,11,11805.0,13910.0,False,False,0.0,1,False,False,False,1,-0.1791,0,,LOW,2026.09.1
9114968431,10,13,10,13,11200.0,15090.0,False,False,0.0,1,False,False,False,1,-0.1766,0,,LOW,2026.09.1
9119689122,9,19,9,19,9155.0,22080.0,False,False,0.0,1,False,False,False,1,-0.098,0,,LOW,2026.09.1
9119797995,11,9,11,9,6125.0,7150.0,False,False,0.0,1,False,False,False,1,-0.1563,0,,LOW,2026.09.1
9123825217,14,8,14,8,16825.0,4620.0,False,False,0.0,1,False,False,False,1,-0.1341,0,,LOW,2026.09.1
9127329558,15,11,15,11,12550.0,9315.0,False,False,0.0,1,False,False,False,1,-0.1786,0,,LOW,2026.09.1
9129555777,12,13,12,13,11115.0,17460.0,False,False,0.0,1,False,False,False,1,-0.1757,0,,LOW,2026.09.1
9130186709,10,6,10,6,8200.0,6350.0,False,False,0.0,1,False,False,False,1,-0.0871,0,,LOW,2026.09.1
9137678825,9,12,9,12,9090.0,9850.0,False,False,0.0,1,False,False,False,1,-0.1813,0,,LOW,2026.09.1
9148804543,9,17,9,17,3475.0,11265.0,False,False,0.0,1,False,False,False,1,-0.0975,0,,LOW,2026.09.1
9156043823,14,10,14,10,11090.0,12285.0,False,False,0.0,1,False,False,False,1,-0.1711,0,,LOW,2026.09.1
9156490709,9,11,9,12,3980.0,12285.0,False,False,0.0,1,False,False,False,1,-0.1411,0,,LOW,2026.09.1
9158252827,11,12,11,12,8430.0,10175.0,False,False,0.0,1,False,False,False,1,-0.1873,0,,LOW,2026.09.1
9161202577,13,12,13,12,14310.0,17530.0,False,False,0.0,1,False,False,False,1,-0.1712,0,,LOW,2026.09.1
9169655864,8,6,8,6,7185.0,2175.0,False,False,0.0,1,False,False,False,1,-0.005,0,,LOW,2026.09.1
9174427652,7,10,7,10,7725.0,7780.0,False,False,0.0,1,False,False,False,1,-0.1436,0,,LOW,2026.09.1
9175658769,10,11,10,11,9035.0,6825.0,False,False,2.359,1,False,False,False,1,-0.1753,0,,LOW,2026.09.1
9182010086,15,13,15,13,24145.0,10040.0,False,False,0.0,1,False,False,False,1,-0.1461,0,,LOW,2026.09.1
9182077024,12,8,12,8,13710.0,7570.0,False,False,0.0,1,False,False,False,1,-0.1555,0,,LOW,2026.09.1
9183357251,6,13,6,13,2590.0,15535.0,False,False,0.0,1,False,False,False,1,-0.0562,0,,LOW,2026.09.1
9183540946,8,10,8,10,8460.0,8150.0,False,False,0.0,1,False,False,False,1,-0.1655,0,,LOW,2026.09.1
9183586783,12,14,12,14,12345.0,12135.0,False,False,6.022,1,False,False,False,1,-0.1783,0,,LOW,2026.09.1
